sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,built_year,has_ac,has_fitted_wardrobes,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,has_green_zones,has_parking,distr_coef
91.0,2,2.0,5.0,228208,2508,1,0,2020.0,1,1,0,1,1,0,1,1,1,0.2200382716049383
95.0,3,1.0,3.0,100000,1053,1,1,1970.0,0,0,0,0,0,1,0,0,0,0.2200382716049383
80.0,3,1.0,0.0,140000,1750,1,0,1970.0,1,1,0,0,1,0,0,0,0,0.1739828358208955
60.0,2,1.0,3.0,105000,1750,1,0,1967.0,0,0,0,0,1,0,0,0,0,0.1902237442922374
80.0,3,1.0,3.0,165000,2062,1,0,1977.0,0,1,0,0,1,0,0,0,0,0.1888532608695652
60.0,2,1.0,5.0,73000,1217,1,0,1960.0,1,0,0,0,0,0,0,0,0,0.1526878378378378
50.0,1,1.0,6.0,159000,3180,1,0,2007.0,1,1,0,1,0,0,1,1,1,0.1902237442922374
136.0,3,1.0,1.0,135990,1000,1,0,1967.0,0,0,0,0,1,1,1,0,0,0.1739828358208955
96.0,2,2.0,7.0,210000,2188,1,0,2001.0,1,1,0,1,1,0,1,1,1,0.1888532608695652
71.0,2,2.0,2.0,198000,2789,1,0,2001.0,1,1,0,1,0,0,1,0,0,0.2095736842105263
74.0,2,1.0,1.0,139900,1891,1,0,1966.0,0,1,0,0,0,0,0,0,0,0.2095736842105263
65.0,2,1.0,2.0,110000,1692,1,0,1962.0,0,1,0,0,0,0,0,0,0,0.1526878378378378
93.0,3,1.0,9.0,160000,1720,1,1,1976.0,1,1,0,0,1,0,0,0,0,0.1739828358208955
75.0,3,1.0,2.0,103000,1373,1,0,1968.0,0,1,0,0,1,0,0,0,0,0.1902237442922374
63.0,3,1.0,5.0,100000,1587,1,1,1970.0,0,0,0,0,0,0,0,0,0,0.2095736842105263
65.0,3,1.0,4.0,90000,1385,1,0,1970.0,0,0,0,0,1,0,0,0,0,0.1739828358208955
115.0,3,1.0,1.0,154900,1347,2,0,1975.0,0,1,0,0,1,0,1,0,0,0.1902237442922374
63.0,2,1.0,2.0,82260,1306,1,0,1970.0,0,0,0,0,0,0,0,0,0,0.1526878378378378
72.0,3,1.0,6.0,139400,1936,1,0,1961.0,0,0,0,0,1,0,0,0,0,0.1739828358208955
100.0,2,2.0,0.0,154900,1549,1,0,1970.0,1,1,0,0,0,0,1,1,1,0.1902237442922374
90.0,3,2.0,3.0,155000,1722,1,0,1998.0,1,1,0,0,1,0,1,1,1,0.1902237442922374
66.0,3,1.0,2.0,88000,1333,1,0,1970.0,0,0,0,0,0,0,0,0,0,0.1526878378378378
102.0,3,2.0,5.0,225000,2206,1,0,1970.0,1,0,0,0,1,0,0,0,0,0.1888532608695652
105.0,2,1.0,6.0,189000,1800,1,0,1995.0,1,1,0,0,1,0,0,0,1,0.1739828358208955
95.0,4,1.0,4.0,138000,1453,1,0,1970.0,0,0,0,0,1,0,0,0,0,0.2095736842105263
120.0,3,1.0,2.0,195000,1625,1,0,1962.0,0,0,0,0,0,0,0,0,0,0.1888532608695652
90.0,3,2.0,4.0,222000,2467,1,0,2001.0,1,1,0,1,0,0,1,0,1,0.2200382716049383
64.0,3,1.0,0.0,80500,1258,1,1,1970.0,0,1,0,0,1,0,0,0,0,0.2095736842105263
80.0,3,1.0,3.0,182000,2275,1,0,1974.0,1,0,0,0,1,0,0,0,0,0.1888532608695652
120.0,3,2.0,2.0,295000,2458,1,0,2003.0,1,1,0,0,1,1,1,0,1,0.1902237442922374
82.0,2,2.0,6.0,270000,3293,1,0,1970.0,1,1,0,1,0,0,1,1,1,0.1888532608695652
81.0,3,1.0,3.0,116100,1433,1,0,1970.0,0,0,0,0,0,0,0,0,0,0.2200382716049383
103.0,3,2.0,4.0,250000,2427,1,0,1970.0,1,1,0,1,0,0,1,0,1,0.2095736842105263
63.0,3,1.0,4.0,79900,1268,1,0,1970.0,0,0,0,0,1,0,0,0,0,0.1739828358208955
70.0,3,1.0,3.0,99000,1414,1,0,1970.0,1,0,0,0,0,0,0,0,0,0.1526878378378378
